prot_id,trial_id,category,target_position,selected_image,quintile,im1,im2,im3,im4,im5,im6,im7,im8,im9
2,1,kitchen,4,kitchen_41.jpg,3,kitchen_41.jpg,kitchen_42.jpg,kitchen_11.jpg,kitchen_37.jpg,kitchen_49.jpg,kitchen_1.jpg,kitchen_57.jpg,kitchen_28.jpg,kitchen_58.jpg
2,2,classroom,6,classroom_5.jpg,4,classroom_5.jpg,classroom_15.jpg,classroom_65.jpg,classroom_47.jpg,classroom_29.jpg,classroom_49.jpg,classroom_20.jpg,classroom_44.jpg,classroom_21.jpg
2,3,desert,3,desert_20.jpg,2,desert_20.jpg,desert_27.jpg,desert_6.jpg,desert_25.jpg,desert_35.jpg,desert_51.jpg,desert_45.jpg,desert_1.jpg,desert_39.jpg
2,4,church-inside,4,church_inside_34.jpg,3,church_inside_34.jpg,church_inside_39.jpg,church_inside_54.jpg,church_inside_43.jpg,church_inside_35.jpg,church_inside_50.jpg,church_inside_63.jpg,church_inside_57.jpg,church_inside_15.jpg
2,5,waves,4,waves_39.jpg,4,waves_39.jpg,waves_42.jpg,waves_41.jpg,waves_3.jpg,waves_38.jpg,waves_29.jpg,waves_28.jpg,waves_66.jpg,waves_8.jpg
2,6,livingroom,2,livingroom_13.jpg,2,livingroom_13.jpg,livingroom_11.jpg,livingroom_61.jpg,livingroom_17.jpg,livingroom_35.jpg,livingroom_12.jpg,livingroom_7.jpg,livingroom_30.jpg,livingroom_59.jpg
2,7,skyscraper,5,skyscraper_57.jpg,3,skyscraper_57.jpg,skyscraper_55.jpg,skyscraper_56.jpg,skyscraper_58.jpg,skyscraper_38.jpg,skyscraper_6.jpg,skyscraper_42.jpg,skyscraper_53.jpg,skyscraper_13.jpg
2,8,industrialarea,2,industrialarea_55.jpg,4,industrialarea_55.jpg,industrialarea_60.jpg,industrialarea_11.jpg,industrialarea_49.jpg,industrialarea_66.jpg,industrialarea_25.jpg,industrialarea_3.jpg,industrialarea_31.jpg,industrialarea_9.jpg
2,9,airport,8,airport_16.jpg,2,airport_16.jpg,airport_15.jpg,airport_9.jpg,airport_32.jpg,airport_40.jpg,airport_12.jpg,airport_61.jpg,airport_67.jpg,airport_54.jpg
2,10,cemetery,3,cemetery_63.jpg,3,cemetery_63.jpg,cemetery_29.jpg,cemetery_7.jpg,cemetery_12.jpg,cemetery_21.jpg,cemetery_53.jpg,cemetery_13.jpg,cemetery_54.jpg,cemetery_35.jpg
2,11,playground,1,playground_53.jpg,4,playground_9.jpg,playground_53.jpg,playground_68.jpg,playground_67.jpg,playground_14.jpg,playground_59.jpg,playground_22.jpg,playground_55.jpg,playground_8.jpg
2,12,buffet,9,buffet_67.jpg,2,buffet_67.jpg,buffet_8.jpg,buffet_66.jpg,buffet_5.jpg,buffet_55.jpg,buffet_36.jpg,buffet_6.jpg,buffet_1.jpg,buffet_54.jpg
2,13,coast,1,coast_4.jpg,3,coast_63.jpg,coast_4.jpg,coast_55.jpg,coast_21.jpg,coast_14.jpg,coast_59.jpg,coast_38.jpg,coast_13.jpg,coast_66.jpg
2,14,warehouse,3,warehouse_20.jpg,4,warehouse_20.jpg,warehouse_11.jpg,warehouse_52.jpg,warehouse_9.jpg,warehouse_30.jpg,warehouse_41.jpg,warehouse_2.jpg,warehouse_63.jpg,warehouse_19.jpg
