prot_id,trial_id,category,target_position,selected_image,quintile,im1,im2,im3,im4,im5,im6,im7,im8,im9
5,28,swimmingpool,3,swimmingpool_8.jpg,3,swimmingpool_8.jpg,swimmingpool_52.jpg,swimmingpool_56.jpg,swimmingpool_34.jpg,swimmingpool_59.jpg,swimmingpool_46.jpg,swimmingpool_17.jpg,swimmingpool_54.jpg,swimmingpool_62.jpg
5,29,house,4,house_17.jpg,2,house_17.jpg,house_14.jpg,house_32.jpg,house_22.jpg,house_63.jpg,house_44.jpg,house_53.jpg,house_3.jpg,house_21.jpg
5,30,iceberg,9,iceberg_37.jpg,4,iceberg_37.jpg,iceberg_16.jpg,iceberg_41.jpg,iceberg_32.jpg,iceberg_54.jpg,iceberg_12.jpg,iceberg_66.jpg,iceberg_26.jpg,iceberg_30.jpg
5,31,mountainwhite,2,mountainwhite_49.jpg,3,mountainwhite_49.jpg,mountainwhite_14.jpg,mountainwhite_50.jpg,mountainwhite_54.jpg,mountainwhite_43.jpg,mountainwhite_52.jpg,mountainwhite_21.jpg,mountainwhite_46.jpg,mountainwhite_42.jpg
5,32,street,9,street_43.jpg,2,street_43.jpg,street_47.jpg,street_54.jpg,street_8.jpg,street_41.jpg,street_28.jpg,street_4.jpg,street_67.jpg,street_67.jpg
5,33,train,8,train_15.jpg,4,train_15.jpg,train_25.jpg,train_21.jpg,train_29.jpg,train_30.jpg,train_12.jpg,train_19.jpg,train_32.jpg,train_38.jpg
5,34,restaurant,9,restaurant_62.jpg,3,restaurant_62.jpg,restaurant_11.jpg,restaurant_45.jpg,restaurant_1.jpg,restaurant_32.jpg,restaurant_17.jpg,restaurant_13.jpg,restaurant_3.jpg,restaurant_42.jpg
5,35,industrialarea,7,industrialarea_58.jpg,2,industrialarea_58.jpg,industrialarea_47.jpg,industrialarea_12.jpg,industrialarea_46.jpg,industrialarea_53.jpg,industrialarea_2.jpg,industrialarea_14.jpg,industrialarea_43.jpg,industrialarea_20.jpg
5,36,beach,7,beach_4.jpg,4,beach_4.jpg,beach_13.jpg,beach_46.jpg,beach_50.jpg,beach_32.jpg,beach_22.jpg,beach_53.jpg,beach_3.jpg,beach_51.jpg
5,37,library,6,library_3.jpg,3,library_3.jpg,library_59.jpg,library_56.jpg,library_35.jpg,library_26.jpg,library_21.jpg,library_17.jpg,library_14.jpg,library_47.jpg
5,38,toystore,6,toystore_41.jpg,2,toystore_41.jpg,toystore_45.jpg,toystore_30.jpg,toystore_6.jpg,toystore_40.jpg,toystore_32.jpg,toystore_9.jpg,toystore_25.jpg,toystore_16.jpg
5,39,greenhouse,1,greenhouse_56.jpg,4,greenhouse_51.jpg,greenhouse_56.jpg,greenhouse_2.jpg,greenhouse_10.jpg,greenhouse_30.jpg,greenhouse_53.jpg,greenhouse_46.jpg,greenhouse_33.jpg,greenhouse_5.jpg
5,40,bar,9,bar_50.jpg,3,bar_50.jpg,bar_1.jpg,bar_56.jpg,bar_36.jpg,bar_2.jpg,bar_58.jpg,bar_38.jpg,bar_26.jpg,bar_23.jpg
5,41,barn,5,barn_42.jpg,2,barn_42.jpg,barn_13.jpg,barn_2.jpg,barn_31.jpg,barn_64.jpg,barn_40.jpg,barn_9.jpg,barn_53.jpg,barn_43.jpg
5,42,amusementpark,3,amusementpark_11.jpg,4,amusementpark_11.jpg,amusementpark_36.jpg,amusementpark_60.jpg,amusementpark_9.jpg,amusementpark_44.jpg,amusementpark_59.jpg,amusementpark_65.jpg,amusementpark_46.jpg,amusementpark_54.jpg
5,43,buffet,3,buffet_64.jpg,3,buffet_64.jpg,buffet_27.jpg,buffet_61.jpg,buffet_35.jpg,buffet_4.jpg,buffet_28.jpg,buffet_42.jpg,buffet_3.jpg,buffet_44.jpg
5,44,cavern,4,cavern_56.jpg,2,cavern_56.jpg,cavern_26.jpg,cavern_31.jpg,cavern_2.jpg,cavern_65.jpg,cavern_50.jpg,cavern_64.jpg,cavern_63.jpg,cavern_55.jpg
5,45,underwater,8,underwater_5.jpg,4,underwater_5.jpg,underwater_43.jpg,underwater_57.jpg,underwater_52.jpg,underwater_65.jpg,underwater_68.jpg,underwater_59.jpg,underwater_28.jpg,underwater_50.jpg
5,46,bedroom,3,bedroom_13.jpg,3,bedroom_13.jpg,bedroom_46.jpg,bedroom_17.jpg,bedroom_21.jpg,bedroom_16.jpg,bedroom_15.jpg,bedroom_9.jpg,bedroom_19.jpg,bedroom_42.jpg
5,47,stream,5,stream_26.jpg,2,stream_26.jpg,stream_10.jpg,stream_9.jpg,stream_38.jpg,stream_18.jpg,stream_57.jpg,stream_20.jpg,stream_45.jpg,stream_18.jpg
5,48,warehouse,1,warehouse_72.jpg,4,warehouse_34.jpg,warehouse_72.jpg,warehouse_18.jpg,warehouse_17.jpg,warehouse_35.jpg,warehouse_66.jpg,warehouse_71.jpg,warehouse_22.jpg,warehouse_62.jpg
